arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"yeah, i think i have seen them all, ",that 3rd movie is still my favorite.,comparison,but,mid,"yeah, i think i have seen them all, but that 3rd movie is still my favorite.",Did you see the other ones?
i loved the art with the book illustrations ,the scares were somewhat standard fare for horror.,comparison,but,mid,"yes. i loved the art with the book illustrations but the scares were somewhat standard fare for horror. the meme is fabulous, though.","So, this gay Babadook meme has me thinking of the film again. Did you see it?"
i saw them when i was younger ,really never let them affect me.,comparison,but,mid,i saw them when i was younger but really never let them affect me.,Those movies really make your mind play games.
"he is really good in supernatural, ",it was a natural pivot for him to do this movie.,contingency,so,mid,"he is really good in supernatural, so it was a natural pivot for him to do this movie.",That was an interesting one.  I really liked seeing Jared Padalecki's performance.
"one where the horror isn't how much blood is on the screen, ",instead the amount of fright and anxiety you feel during intense scenes.,comparison,but,mid,"i completely disagree, alien is the best type of horror.  one where the horror isn't how much blood is on the screen, but instead the amount of fright and anxiety you feel during intense scenes.","Wait.  Alien isn't a horror film, that's a thriller."
"ok, that sounds good.",next week we've got to go see something modern like light's out.,comparison,but,begin,"ok, that sounds good.  but next week we've got to go see something modern like light's out.","Yeah, that's a classic for sure."
i also thought the cinematography was very well done.,was it really a horror?,comparison,but,begin,i also thought the cinematography was very well done. but was it really a horror?,The costumes added a lot to the atmosphere and time it took place in.
it has some plot twist that may have been more thriller ,i thought it was very creepy and scary and fits the horror category well.,comparison,but,mid,i thought so. it has some plot twist that may have been more thriller but i thought it was very creepy and scary and fits the horror category well.,I also thought the cinematography was very well done. But was it really a horror?
"that is a tough one, ",i liked freddy vs. jason.,comparison,but,mid,"that is a tough one, but i liked freddy vs. jason.",What is your favorite Jason Voorhees movie?
it is good.,scariest for me is the bird's.,comparison,but,begin,it is good. but scariest for me is the bird's.,"Psycho, I think this is his scariest ever, don't you?"
it is a scary concept.,still say psycho look at what that says about human nature and how sick some people are.,comparison,but,begin,no need to yell.. just kidding. it is a scary concept. but still say psycho look at what that says about human nature and how sick some people are.,I don't agree. THE FACT THAT NATURE IS SO UNCONTROLLABLE AND CAN JUST TURN ON HUMANS ANYTIME IS THE ULTIMATE SACRE.
it was a great film ,of its gruseome demeanor.,contingency,because,mid,it was a great film because of its gruseome demeanor.,Yeah the entire premise was bizarre.
"i know when i saw that panel and heard them taking bets from different teams all over the world i was really confused, ",i wanted to know what was going on.,comparison,but,mid,"i know when i saw that panel and heard them taking bets from different teams all over the world i was really confused, but i wanted to know what was going on.","No, that movie defied all expectation. I really liked the part where they showed the panel of monsters they could choose from."
"i sill do not quite understand how the ritual saves humanity, ",i guess this time it didn't.,comparison,but,mid,"i sill do not quite understand how the ritual saves humanity, but i guess this time it didn't.",That part was kind of predictable as soon as I heard the story they were reading. It just helped set it up to be even better when it went so far out of normal horror movie territory.
"no, marty and dana refuse to finish the ritual ","that is the end of the facility, and i assume the world if their rules are correct.",contingency,so,mid,"no, marty and dana refuse to finish the ritual so that is the end of the facility, and i assume the world if their rules are correct.","I sill do not quite understand how the ritual saves humanity, but I guess this time it didn't."
i would say the 2nd movie ,that is when you hear about his back story.,contingency,because,mid,i would say the 2nd movie because that is when you hear about his back story.,What part was your favorite?
"i know,  i felt sorry for him ",of the way he grew up.,contingency,because,mid,"i know,  i felt sorry for him because of the way he grew up.",I can't believe his back story.  It was so scary.
"yeah, but i want to see it ",it's pride month and apparently the babadook is an lgbt horror movie.,contingency,because,mid,"yeah, but i want to see it because it's pride month and apparently the babadook is an lgbt horror movie.","Really? It just looks okay, to be honest."
this isn't like scary movie ,it isn't that horrifying.,comparison,but,mid,campy like... well you'll have to see it. this isn't like scary movie but it isn't that horrifying.,"Campy like Scary Movie or campy like, you're lying to me!"
"okay, it is kind of more like human centipede where it's bad campy ",your brain might fill in the gaps.,comparison,but,mid,"okay, it is kind of more like human centipede where it's bad campy but your brain might fill in the gaps.",I feel like you're lying to me since you made me watch Human Centipede!
I still hate you for that!,it's not entirely like human centipede and less disgusting.,comparison,but,begin,but it's not entirely like human centipede and less disgusting.,Ew! I still hate you for that!
"she felt both new and interesting, ",", at the same time, still grounded in the world of universal's classic monsters.",comparison,but,mid,"well, i definitely liked how they portrayed the mummy. she felt both new and interesting, but, at the same time, still grounded in the world of universal's classic monsters. also, the overall movie had a neat sort of classic, b-moive monster movie vibe to it.",What did you like about it? How much was it like the classic Universal monster movies?
"i don't want to say exactly what they were because i don't want to spoil anything, ","i would say definitely keep an eye out when the main characters reach the ""lab.""",comparison,but,mid,"yeah, there totally were. i don't want to say exactly what they were because i don't want to spoil anything, but i would say definitely keep an eye out when the main characters reach the ""lab.""","Oh, that is kind of cool. Where there any other references in the movie to Universal's other monsters?"
i don't want to say exactly what they were ,"i don't want to spoil anything, but i would say definitely keep an eye out when the main characters reach the ""lab.""",contingency,because,mid,"yeah, there totally were. i don't want to say exactly what they were because i don't want to spoil anything, but i would say definitely keep an eye out when the main characters reach the ""lab.""","Oh, that is kind of cool. Where there any other references in the movie to Universal's other monsters?"
not that it was super scary ,there was so much suspense.,comparison,but,mid,"no, it was different. totally unexpected. not that it was super scary but there was so much suspense.",I've been looking for a new type of horror movie. It seems like every horror movie is the same stuff.
"i find ventriloquist dolls very creepy, ",it was a good overall premise for the movie.,contingency,so,mid,"me too! i find ventriloquist dolls very creepy, so it was a good overall premise for the movie.","Yes, that was a real surprise to me!"
i think its really subjective ,i am leaning towards agreeing with you.,comparison,but,mid,i think its really subjective but i am leaning towards agreeing with you.,How the townspeople seemed so convoluted.
it all takes place on this bullet train ,its confined and claustrophobic.,contingency,so,mid,it all takes place on this bullet train so its confined and claustrophobic. and the zombies are fast so when people try to move between trains all hell breaks lose.,Really? What sets it apart from other zombie movies?
they had some set pieces like i've never seen ,it also has a heart so you care about the people who are in jeopardy.,comparison,but,mid,extremely gory but in a unique over the top way. they had some set pieces like i've never seen but it also has a heart so you care about the people who are in jeopardy.,Was it gory?
they had some set pieces like i've never seen but it also has a heart ,you care about the people who are in jeopardy.,contingency,so,mid,extremely gory but in a unique over the top way. they had some set pieces like i've never seen but it also has a heart so you care about the people who are in jeopardy.,Was it gory?
"i've watched a lot of them, ",i don't know if i was a fan.,comparison,but,mid,"i've watched a lot of them, but i don't know if i was a fan.",Were you ever into the Paranormal Activities movies?
"i mean, they had a scare factor, ",the believability wasn't there.,comparison,but,mid,"not really.  i mean, they had a scare factor, but the believability wasn't there.",Didn't they scare you?
"I mean, it was just a movie.",there are things that you can't see!,comparison,but,begin,but there are things that you can't see!,"No.  I mean, it was just a movie."
"sure there are comedies films of hers, ",what about six sense.,comparison,but,mid,"toni collette is multi-faceted. sure there are comedies films of hers, but what about six sense. i think of her just as a great actress.","Come on,the whole premise is comical. Then look at toni collette I think of her as a comedic actress."
take this one ,", and so many others...max: are we going to be okay?",expansion,for example,mid,"take this one for example, and so many others...max: are we going to be okay? [omi talks in german] max: what? aunt dorothy: she said we're fucked!",Like what lines? can you quote any?
